list_nth,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,2,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,2,2,4,4,7,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0376,0.047299999999999995,2.2313,3.9768,17.409,43.6801,127.0979,15.3386,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.014699999999999996,0.04999999999999999,0.1859,0.35690000000000005,0.21050000000000002,0.5809,0.4143,0.7084000000000001,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,286752,286912,315504,325772,499968,613720,896248,240264,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,147860,156912,148208,203704,147088,200208,194272,225408,0,0,0,0,0,0,0,0,0,0,0
list_sum,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,1,1,6,10,10,10,10,9,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.6894,0.358,1.4726000000000001,1.5752000000000002,1.8724,6.753899999999999,138.22140000000002,280.66,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.12830000000000003,0.0777,0.058399999999999994,0.0664,0.0824,0.1013,0.1039,0.1234,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,313784,306952,316080,327636,329828,353720,742936,1565652,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,161236,161076,161112,161216,161216,161344,161560,161792,0,0,0,0,0,0,0,0,0,0,0
list_length,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,8,6,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,3,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0882,0.0649,0.1572,0.213,0.48939999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0799,0.094,0.14140000000000003,0.17,0.20220000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,306140,298620,319516,320916,327520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,162308,163592,166308,167012,167956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_even_parity,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,2,5,6,10,9,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0377,0.0346,0.2459,0.2779,8.429799999999998,28.4235,67.4537,36.766099999999994,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.029399999999999996,0.0188,0.021499999999999995,0.0426,0.067,0.21390000000000003,0.0912,0.17009999999999997,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,294840,294668,305124,313640,335936,340624,416584,345336,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,153504,150304,136200,156216,130684,114084,146764,163936,0,0,0,0,0,0,0,0,0,0,0
list_inc,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,9,7,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.14849999999999997,0.1251,0.1482,0.15629999999999997,0.2792,0.20230000000000004,1.2534999999999998,6.9821,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.3068000000000001,0.1202,0.31120000000000003,0.23520000000000002,0.47959999999999997,0.48190000000000005,0.7072999999999999,1.7391,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,307980,302780,308000,305968,311276,309604,321116,351328,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,162972,162300,164996,166272,167636,168416,169444,171152,0,0,0,0,0,0,0,0,0,0,0
list_stutter,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,7,7,8,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,7,7,8,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.2057,0.31679999999999997,0.3423,1.6067999999999998,5.7162999999999995,4.2279,23.000499999999995,70.81080000000001,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.1061,0.13390000000000002,0.2463,0.6865,1.7435,2.8166,3.1224,4.582999999999999,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,308816,309684,310756,328680,342692,340084,404720,529832,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,162324,162740,164840,167348,168968,170228,171596,173424,0,0,0,0,0,0,0,0,0,0,0
list_snoc,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,9,10,10,9,10,10,7,6,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,3,6,10,9,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.23169999999999996,0.298,0.44620000000000004,0.9004,13.692799999999998,32.3655,122.5128,236.23239999999998,0,0,0,0,0,0,0,0,0,0,0
