trio-timeout,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
list_concat,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,3,5,8,8,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,2,2,7,7,6,7,7,10,9,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.07010000000000001,0.1142,0.5838,2.5197999999999996,1.0589000000000002,7.1734,0.9360999999999999,5.384600000000001,13.395199999999999,48.63519999999999,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0589,0.10940000000000001,0.1823,0.2066,0.24419999999999997,0.2842,0.36,0.46059999999999995,0.5026999999999999,0.6247999999999999,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_append,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,1,6,2,2,3,4,4,2,3,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,57.449,0.1867,0.0438,71.22489999999999,0.18259999999999998,0.0649,0.11180000000000001,0.3114,0.1716,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.1389,1.9135000000000002,12.350599999999998,9.464600000000003,10.092000000000002,28.3618,66.86319999999999,16.5673,11.7471,11.539200000000001,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,1,4,9,5,7,9,8,7,9,10,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_fold,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,5,6,8,9,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,5,6,8,9,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0314,0.04170000000000001,0.0592,0.0775,0.1174,0.13440000000000002,0.227,1.7188,0.3081,2.035,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.02,0.0271,0.0362,0.0524,0.0682,0.08099999999999999,0.1025,0.11580000000000001,0.1365,0.16160000000000002,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_snoc,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,1,7,5,6,7,8,9,9,9,9,0,0,0,0,0,0,0,0,0
trio-correct,0,0,1,7,5,6,7,8,9,9,9,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.038099999999999995,0.3148,0.17750000000000005,0.8682,2.032,80.05180000000001,11.453199999999997,4.7884,31.4987,6.508499999999999,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0658,0.2085,0.2364,0.35050000000000003,0.4431,0.5819,0.6197999999999999,0.6983000000000001,0.9665999999999999,1.0634000000000001,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_rev_tailcall,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,2,2,1,5,2,6,2,2,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,1.3769,4.5635,108.3182,69.1581,20.5366,1.8153,47.8529,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.1378,0.5314,14.6688,1.2547000000000001,4.5211,14.900500000000001,34.295199999999994,108.39580000000001,126.39099999999999,50.4202,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,2,4,7,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
list_pairwise_swap,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0056,0.20759999999999998,0.849,2.5716,6.7069,7.2799,62.440599999999996,161.85869999999997,45.4679,276.7512,0,0,0,0,0,0,0,0,0
